borough,parent_neighborhood,sub_neighborhood,geojson_slug,notes
Manhattan,Marble Hill,,marble-hill-manhattan,
Manhattan,Inwood,,inwood-manhattan,
Manhattan,Washington Heights,,washington-heights-manhattan,
Manhattan,Washington Heights,Hudson Heights,hudson-heights-manhattan,
Manhattan,Washington Heights,Fort George,fort-george-manhattan,
Manhattan,Hamilton Heights,,hamilton-heights-manhattan,
Manhattan,Manhattanville,,manhattanville-manhattan,
Manhattan,Morningside Heights,,morningside-heights-manhattan,
Manhattan,Central Harlem,,,no GeoJSON slug
Manhattan,Central Harlem,Astor Row,,no GeoJSON slug
Manhattan,Central Harlem,Marcus Garvey Park / Mount Morris Historic District,,no GeoJSON slug
Manhattan,Harlem,,harlem-manhattan,
Manhattan,Harlem,Strivers' Row,strivers-row-manhattan,St. Nicholas Historic District
Manhattan,Harlem,Sugar Hill,sugar-hill-manhattan,
Manhattan,Harlem,Le Petit Senegal,,no GeoJSON slug
Manhattan,East Harlem,,east-harlem-manhattan,
Manhattan,Upper West Side,,upper-west-side-manhattan,
Manhattan,Upper West Side,Manhattan Valley,manhattan-valley-manhattan,
Manhattan,Upper West Side,Lincoln Square,lincoln-square-manhattan,
Manhattan,Upper West Side,Columbus Circle,,no GeoJSON slug
Manhattan,Upper East Side,,upper-east-side-manhattan,
Manhattan,Upper East Side,Lenox Hill,lenox-hill-manhattan,
Manhattan,Upper East Side,Carnegie Hill,carnegie-hill-manhattan,
Manhattan,Upper East Side,Yorkville,yorkville-manhattan,
Manhattan,Hudson Yards,,hudson-yards-manhattan,
Manhattan,Hell's Kitchen,,hells-kitchen-manhattan,
Manhattan,Garment District,,garment-district-manhattan,
Manhattan,Theater District,,theater-district-manhattan,
Manhattan,Theater District,Times Square,,no GeoJSON slug
Manhattan,Theater District,Diamond District,,no GeoJSON slug
Manhattan,Theater District,Herald Square,,no GeoJSON slug
Manhattan,Midtown,,midtown-manhattan,
Manhattan,Midtown,Rockefeller Center,,no GeoJSON slug
Manhattan,Midtown,Little Brazil,,no GeoJSON slug
Manhattan,Midtown,Koreatown,,no GeoJSON slug
Manhattan,Midtown,Tenderloin,,no GeoJSON slug
Manhattan,Midtown,Midtown West,,no GeoJSON slug
Manhattan,Midtown East,,midtown-east-manhattan,
Manhattan,Midtown East,Turtle Bay,turtle-bay-manhattan,
Manhattan,Midtown East,Sutton Place,sutton-place-manhattan,
Manhattan,Midtown East,Tudor City,,no GeoJSON slug
Manhattan,Murray Hill,,murray-hill-manhattan,
Manhattan,Murray Hill,Curry Hill / Little India,,no GeoJSON slug
Manhattan,Murray Hill,Kips Bay,,no GeoJSON slug
Manhattan,Murray Hill,Rose Hill,,no GeoJSON slug
Manhattan,Murray Hill,Brookdale,,no GeoJSON slug
Manhattan,Murray Hill,Waterside Plaza,,no GeoJSON slug
Manhattan,Gramercy Park,,gramercy-manhattan,
Manhattan,Gramercy Park,Stuyvesant Square,,no GeoJSON slug
Manhattan,Gramercy Park,Peter Cooper Village,,no GeoJSON slug
Manhattan,Gramercy Park,Stuyvesant Town,stuyvesant-town-manhattan,
Manhattan,Flatiron District,,flatiron-district-manhattan,
Manhattan,Flatiron District,NoMad,,no GeoJSON slug
Manhattan,Flatiron District,Madison Square,,no GeoJSON slug
Manhattan,Flatiron District,Union Square,,no GeoJSON slug
Manhattan,Flatiron District,Flower District,,no GeoJSON slug
Manhattan,Chelsea,,chelsea-manhattan,
Manhattan,Chelsea,Meatpacking District,,no GeoJSON slug
Manhattan,Greenwich Village,,greenwich-village-manhattan,
Manhattan,Greenwich Village,West Village,west-village-manhattan,
Manhattan,Greenwich Village,NoHo,noho-manhattan,
Manhattan,East Village,,east-village-manhattan,
Manhattan,East Village,Alphabet City / Loisaida,,no GeoJSON slug
Manhattan,East Village,Bowery,,no GeoJSON slug
Manhattan,Lower East Side,,lower-east-side-manhattan,
Manhattan,Lower East Side,Two Bridges,two-bridges-manhattan,
Manhattan,Lower East Side,Cooperative Village,,no GeoJSON slug
Manhattan,SoHo,,soho-manhattan,
Manhattan,SoHo,Hudson Square,hudson-square-manhattan,
Manhattan,NoLiTa,,nolita-manhattan,
Manhattan,NoLiTa,Little Australia,,no GeoJSON slug
Manhattan,Little Italy,,little-italy-manhattan,
Manhattan,Chinatown,,chinatown-manhattan,
Manhattan,Tribeca,,tribeca-manhattan,
Manhattan,Civic Center,,civic-center-manhattan,
Manhattan,Financial District,,financial-district-manhattan,
Manhattan,Battery Park City,,battery-park-city-manhattan,
Manhattan,Central Park,,central-park-manhattan,special/island area
Manhattan,Roosevelt Island,,roosevelt-island-manhattan,special/island area
Manhattan,Randall's & Wards Island,,randals-wards-island-manhattan,special/island area
Manhattan,Governors Island,,governors-island-manhattan,special/island area
Manhattan,Ellis Island,,ellis-island-manhattan,special/island area
Manhattan,Liberty Island,,liberty-island-manhattan,special/island area
Manhattan,Mill Rock Park,,mill-rock-park-manhattan,special/island area
